;userName;score;at;content
0;Arzian riandani;1;26/11/2022 10:59;Kembali mengecewakan, kembalikan refund dana saya
1;Nana Nana;5;26/11/2022 10:15;wanda ngomong apaan ya, inggrisnya balelol kaya anak sd
2;Arda Nurwan;1;26/11/2022 10:12;"Saya menggunakan app ini untuk membantu agar obat yang ingin digunakan segera sampai. Sudah 10 hari kiriman belum datang. ""Barang akan sampai besok"" begitu setiap hari ditulis di app. Setiap hari saya cek,begitu terus. Coba halodoc agar bisa memilihkan lokasi apotek yang cepat sampai. Saya di sumatra berat,dapat apotek di medan,kirimannya mutar mutar ke pekanbaru lalu ke jakarta dan sekarang entah dimana.saya hubungi pusat bantuan diaplikasi tidak direspon."
3;liem sioe im;5;26/11/2022 09:03;Easy to use
4;胖胖姑娘;5;26/11/2022 08:57;Ngebantu banget sebagai pertolongan pertama 😭 terima kasih ya halodoc
5;Wibisono Saputra;5;26/11/2022 06:49;Membantu apalagi ngelink sama asuransi kantorku,dokter on call ramah dan membantu
6;Fredy Yoseph Marianto;5;26/11/2022 03:34;Very useful apps for bwing healthy
7;Suhartono Chin;5;26/11/2022 02:08;Sangat membantu dan mudah digunakan
8;Man Wibowo;5;25/11/2022 15:19;Sangat membantu sekali pada waktu anggota keluarga sakit
9;Wiwik Widyawati;5;25/11/2022 09:06;Helpful
10;Darman Wijaya;5;25/11/2022 05:46;Good apps
11;Stephanie Florencia;5;25/11/2022 03:01;Good
12;Gabriel;1;25/11/2022 02:17;Paid and chat with doctor was fine, but always force close afterwards and prescription payment process always failed
13;Sri Wahyuni;5;25/11/2022 01:52;Dokter nya baik
14;Ade Supangat;5;25/11/2022 01:46;Great App
15;samiadjie wibowo;5;25/11/2022 01:45;Emergency apps. Recomended.
16;Yoana Christ;5;25/11/2022 01:35;Very helpful when the body is not healthy as usual & the application is very easy to use
17;Herry Kristianto;5;25/11/2022 00:38;Mantap. Memudahkan konsul dokter dan daat obat.
18;Triwidiastuti Koes;5;24/11/2022 13:09;Useful, tapi waiting timenya lama...
19;Muh. Januarizman Akbar;5;24/11/2022 12:00;Exellence service.
20;Ricky Kristian;1;24/11/2022 11:40;Kenapa sih skrng tdk ada lagi review dokter dan bintangnya. Ga bsa liat dokter yang terbaik. Saya dapat dokter yang cma bilang iya saya resepkan obatnya tanpa ada apapun perkataan. Kecewa banget begini sekarang apps nya. Mau konsultasi malah cma kasi resep langsung. Mau lindungi dokternya apa pasiennya nih. Kaya gini jadi asal2an aja rasanya.
21;Wahyuni;5;24/11/2022 09:36;Cukup membantu
22;Riki Setiawan;5;24/11/2022 08:49;mantap
23;Hardiansyah Nur;5;24/11/2022 08:25;Sangat membantu saat sakit
24;Fatma idris Rumalutur;1;24/11/2022 07:16;I have bad experience with the customer service and the application system. Thank u next.
25;Abdul Kadir Zaelani;5;24/11/2022 06:59;Halodoc sulusi saat kita sendiri
26;Alex Martin;4;24/11/2022 02:39;Harusnya ada data jumlah konsultasi untuk dokter nya bukan cuma persentase. Trus angka 5 tahun, 7 tahun dll itu apaan sih ? Ga jelas
27;Farid Setiawan;5;23/11/2022 15:39;Very helpful app
28;Hasna Syarifatul;5;23/11/2022 15:34;Helpful
29;liza faziae;4;23/11/2022 13:53;I just dont understand, i order the prescription, but then there are medicine require prescription and then I was forwarded to another doctor ask for prescription🙄. In other words I have to pay double consultation? WHY??
30;M Irfan Ratinggang;5;23/11/2022 12:54;Very helpful
31;Edi Nurman Setiadi;5;23/11/2022 12:38;Awesome
32;Fikry Farhan;5;23/11/2022 12:24;👍
33;Saesario Indrawan;5;23/11/2022 11:42;It does what it says
34;Santi Peters;5;23/11/2022 02:23;Great and quick
