"","text"
"1"," mengecewakan kembalikan refund dana "
"2","wanda ngomong a ya inggrisnya balelol kaya anak sd"
"3","  ani  membantu  obat     sam    kiriman   barang  sambesok  setiari ditulis  asetiari  cekbegitu  coba halodoc   memilihkan lokasi ak  cesam   sumatra beratdaak  medankirimannya mutar mutar  nbaru   jakarta    dimanasaya hubungi t bantuan diaasi  dires"
"4","easy to use"
"5","ngebantu banget  olongan ama  terima kasih ya halodoc"
"6","membantu agi ngelink  asuransi kantorkudokter on call ramah  membantu"
"7","very useful afor bwing healthy"
"8"," membantu  mudah "
"9"," membantu    anggota keluarga sakit"
"10","hel"
"11","good apps"
"12","good"
"13","paid and chat with doctor was fine but always force close afterwards and crin ent ess always failed"
"14","dokter nya "
"15","great app"
"16","emergency a recomended"
"17","very hel when the body is not healthy as usual  the acation is very easy to use"
"18","mantaemudahkan konsul dokter  daat obat"
"19","useful taaiting timenya "
"20","exellence service"
"21","kenaih skrng tdk   review dokter  bintangnya ga bsa liat dokter  terbaik  dadokter  cma bilang iya  rese obatnya tanda an ataan kecewa banget   anya  konsultasi  cma kasi resengsung  lindungi dokternya aasiennya nih kaya gini  asalan aja "
"22","cukumbantu"
"23","mantap"
"24"," membantu  sakit"
"25","i have bad exence with the customer service and the acation system thank u next"
"26","halodoc sulusi   "
"27","  data  konsultasi  dokter nya   entase trus angka     dll  a sih  ga "
"28","very hel app"
"29","hel"
"30","i just dont understand i order the crin but then there are medicine require crin and then i was forwarded to another doctor ask for crin in other words i have to double consultation why"
"31","very hel"
"32","awesome"
"33",""
"34","it does what it says"
"35","great and quick"
"36","its really useful when your body is really sick but you cant go to the doctor when you have no time to buy medicine or consult or test lab"
"37","ceramah helly"
"38","mudah dokternya tlo u obat  malam  sulit  sdh durir ham jam tetak bs dilacak tnfirmasi sdh durir  dibatalkan tdk   obatnya  diukan"
"39","practical and available when needed"
"40","keren"
"41"," fiturnya udah lengkadi gau download aain lg samcek bmi  bisaa "
"42","ribet bgt ya bolak  arui keranjang ue toko ganti alamat mending benerin  deh user exence nya"
"43","mudah  rescepat"
"44","dokternya  hel n aasi user friendlysukses  halodocsenang berobat  halodoc"
"45","mudah  cepat"
"46","pesan obat    halodoc  tera   dibatalkan sek    daresengkap"
"47","hell"
"48","pelayanan buruk saldo  x tertarik tetatatus ayaran gagal pembohongan ik   urgent"
"49","the location issue when you input address properly but the point isnt you should pickup by yourself to take what you order it happened twice"
"50","simand effective"
"51","tanggacedan "
"52","gak  lacak iriman obat  hubungi csnya   csnya  chat dgn virtual assistant  chat dgn cs jawabannya standar   sei chat  robot cs  standby  jam ya  kalo  cancel an malem goodluck gak   list dokter gk ue  mahal"
"53","pelayanan   cepat"
"54","pengiriman lambat  ribet   cancelbahan alamat  iriman"
"55"," konsulnya"
"56"," membantu"
"57","fast res"
"58","its helllll"
"59","good"
"60","cukumbantu krn mudah utk konsultasi kasaja"
"61","this is afunctionality is amazing and sooooo useful"
"62","kecewa  yanan dokter  cs nya ga  diandalkan   emergency   covid   payah "
"63","pencarian obatnya   akurat uninstall"
"64"," membantu"
"65","keren tgal mulu klo to"
"66","mudah   berguna"
"67","good aation for health"
"68","dr rahmat bagus"
"69"," bermanfaat  urgensi"
"70","very reliable  beli obat malem"
"71","okay ngebantu bgt utk konsul  dokter  beli obat"
"72","very easy to use wished the rating become a star or something there are times when a doctor could do better but they did a good job do i give them a thumbs u thumbs down for the feedback"
"73"," bug  banget error  beli obat"
"74","nice feature mechanism and easy to use"
"75","hel"
"76","aasi     lancar yanan dokter  ce terimakasih "
"77","ok"
"78","aasi ribet"
"79","gak  ribet bgt udah i resekter  gak   beli obat nya ribet bgt aeda  yg "
"80","bantu banget  nganan cepat"
"81","my life is easier with halodoc "
"82","muantedi ga antri  kalo   resep"
"83","good "
"84","dokternya   sabar terima kasih"
"85","kalo dada  sakit beraablet cedocard  diminum  dibawah lidah"
"86","rescedan "
"87"," membantu"
"88"," cepat"
"89","ce terjangkau biayanya"
"90","user friendly"
"91"," membantu"
