"","klasifikasi","score","text"
"1","Netral",0," mengecewakan kembalikan refund dana "
"2","Negatif",-1,"wanda ngomong a ya inggrisnya balelol kaya anak sd"
"3","Positif",1,"  ani  membantu  obat     sam    kiriman   barang  sambesok  setiari ditulis  asetiari  cekbegitu  coba halodoc   memilihkan lokasi ak  cesam   sumatra beratdaak  medankirimannya mutar mutar  nbaru   jakarta    dimanasaya hubungi t bantuan diaasi  dires"
"4","Netral",0,"easy to use"
"5","Positif",2,"ngebantu banget  olongan ama  terima kasih ya halodoc"
"6","Positif",1,"membantu agi ngelink  asuransi kantorkudokter on call ramah  membantu"
"7","Netral",0,"very useful afor bwing healthy"
"8","Netral",0," membantu  mudah "
"9","Netral",0," membantu    anggota keluarga sakit"
"10","Netral",0,"hel"
"11","Netral",0,"good apps"
"12","Netral",0,"good"
"13","Netral",0,"paid and chat with doctor was fine but always force close afterwards and crin ent ess always failed"
"14","Netral",0,"dokter nya "
"15","Netral",0,"great app"
"16","Netral",0,"emergency a recomended"
"17","Netral",0,"very hel when the body is not healthy as usual  the acation is very easy to use"
"18","Netral",0,"mantaemudahkan konsul dokter  daat obat"
"19","Netral",0,"useful taaiting timenya "
"20","Netral",0,"exellence service"
"21","Positif",2,"kenaih skrng tdk   review dokter  bintangnya ga bsa liat dokter  terbaik  dadokter  cma bilang iya  rese obatnya tanda an ataan kecewa banget   anya  konsultasi  cma kasi resengsung  lindungi dokternya aasiennya nih kaya gini  asalan aja "
"22","Netral",0,"cukumbantu"
"23","Netral",0,"mantap"
"24","Netral",0," membantu  sakit"
"25","Netral",0,"i have bad exence with the customer service and the acation system thank u next"
"26","Netral",0,"halodoc sulusi   "
"27","Negatif",-1,"  data  konsultasi  dokter nya   entase trus angka     dll  a sih  ga "
"28","Netral",0,"very hel app"
"29","Netral",0,"hel"
"30","Netral",0,"i just dont understand i order the crin but then there are medicine require crin and then i was forwarded to another doctor ask for crin in other words i have to double consultation why"
"31","Netral",0,"very hel"
"32","Netral",0,"awesome"
"33","Netral",0,""
"34","Netral",0,"it does what it says"
"35","Netral",0,"great and quick"
"36","Netral",0,"its really useful when your body is really sick but you cant go to the doctor when you have no time to buy medicine or consult or test lab"
"37","Netral",0,"ceramah helly"
"38","Positif",1,"mudah dokternya tlo u obat  malam  sulit  sdh durir ham jam tetak bs dilacak tnfirmasi sdh durir  dibatalkan tdk   obatnya  diukan"
"39","Netral",0,"practical and available when needed"
"40","Positif",1,"keren"
